gene_id	gene_description	pathway	topic_ecosystem	category	subcategory	note	reference
CE1	CE1 acetyl xylan esterase (EC 3.1.1.72); cinnamoyl esterase (EC 3.1.1.-); feruloyl esterase (EC 3.1.1.73); carboxylesterase (EC 3.1.1.1); S-formylglutathione hydrolase (EC 3.1.2.12); diacylglycerol O-acyltransferase (EC 2.3.1.20); trehalose 6-O-mycolyltransferase (EC 2.3.1.122)	Carbohydrate Esterases	ag	Carbon Processing	Hemicellulose degradation	Xylan deacetylation support	
CE4	CE4 acetyl xylan esterase (EC 3.1.1.72); chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).	Carbohydrate Esterases	ag	Carbon Processing	Hemicellulose degradation	Chitin Oligo Cleavage	
AA9	AA9 (formerly GH61) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of cellulose chains with oxidation of carbons C1 and/or C4 and C-6); lytic cellulose monooxygenase (C1-hydroxylating) (EC 1.14.99.54); lytic cellulose monooxygenase (C4-dehydrogenating) (EC 1.14.99.56)	Auxiliary Activities	ag	Carbon Processing	Hemicellulose degradation	Crystalline Cellulose Backbone Cleavage, Xyloglucan Backbone Cleavage (Hemicellulose)	
AA1	laccase / multicopper oxidase [EC:1.10.3.2]	Lignin degradation (oxidative depolymerization)	ag	Carbon Processing	Lignin degradation	Oxidative polymer attack	
mco	multicopper oxidase (bacterial laccase) [EC:1.10.3.2]	Lignin degradation (oxidative depolymerization)	ag	Carbon Processing	Lignin degradation	Oxidative polymer attack	
AA2	class II peroxidase (lignin/manganese/versatile peroxidases) [EC:1.11.1.-]	Lignin degradation (oxidative depolymerization)	ag	Carbon Processing	Lignin degradation	Oxidative polymer attack	
dyp	DyP-type peroxidase (dye-decolorizing peroxidase) [EC:1.11.1.-]	Lignin degradation (oxidative depolymerization)	ag	Carbon Processing	Lignin degradation	Oxidative polymer attack	
AA3_2	aryl-alcohol oxidase (GMC oxidoreductase) [EC:1.1.3.7]	Lignin degradation (oxidative depolymerization)	ag	Carbon Processing	Lignin degradation	Redox support	
AA5_1	glyoxal oxidase [EC:1.2.3.15]	Lignin degradation (oxidative depolymerization)	ag	Carbon Processing	Lignin degradation	Redox support	
AA8	cellobiose dehydrogenase, cytochrome domain [EC:1.1.99.-]	Lignin degradation (oxidative depolymerization)	ag	Carbon Processing	Lignin degradation	Redox support	
AA3_1	cellobiose dehydrogenase, dehydrogenase domain [EC:1.1.99.-]	Lignin degradation (oxidative depolymerization)	ag	Carbon Processing	Lignin degradation	Redox support	
K18851	glucose-6-phosphate isomerase [EC:5.3.1.9]	Glycolysis / gluconeogenesis	ag	Carbon Processing	Sugar utilization	Glucose	
K00844	hexokinase [EC:2.7.1.1]	Glycolysis (hexokinase reaction)	ag	Carbon Processing	Sugar utilization	Glucose	
K12407	glucokinase [EC:2.7.1.2]	Glycolysis (glucokinase reaction)	ag	Carbon Processing	Sugar utilization	Glucose	
K00845	glucose-6-phosphate dehydrogenase [EC:1.1.1.49]	Pentose phosphate pathway (glucose-6-phosphate dehydrogenase)	ag	Carbon Processing	Sugar utilization	Glucose	
K25026	phosphoglucose isomerase [EC:5.3.1.9]	Glycolysis / pentose phosphate interconversion	ag	Carbon Processing	Sugar utilization	Glucose	
K01182	sucrase-isomaltase [EC:3.2.1.48]	Sucrose and starch metabolism (sucrase–isomaltase complex)	ag	Carbon Processing	Sugar utilization	Sucrose	
K01203	β-fructofuranosidase [EC:3.2.1.26]	Fructose and mannose metabolism (β-fructofuranosidase)	ag	Carbon Processing	Sugar utilization	Sucrose	
K12047	sucrose phosphorylase [EC:2.4.1.7]	Sucrose metabolism (sucrose phosphorylase)	ag	Carbon Processing	Sugar utilization	Sucrose	
K01187	sucrase [EC:3.2.1.48]	Sucrose metabolism (sucrase)	ag	Carbon Processing	Sugar utilization	Sucrose	
K12316	glucosyltransferase [EC:2.4.1.4]	Sucrose and starch metabolism (α-glucosyltransferase)	ag	Carbon Processing	Sugar utilization	Sucrose	
K12317	sucrose-6F-phosphate phosphohydrolase [EC:3.1.3.24]	Sucrose-6F-phosphate metabolism (phosphohydrolase)	ag	Carbon Processing	Sugar utilization	Sucrose	
K00695	α-glucosidase [EC:3.2.1.20]	Carbohydrate metabolism (α-glucosidase)	ag	Carbon Processing	Sugar utilization	Sucrose	
K00690	maltase-glucoamylase [EC:3.2.1.20]	Starch and sucrose metabolism (maltase–glucoamylase)	ag	Carbon Processing	Sugar utilization	Sucrose	
K05341	glucanotransferase [EC:2.4.1.25]	Glycosyltransferase (oligosaccharide interconversion)	ag	Carbon Processing	Sugar utilization	Sucrose	
K00689	oligo-1,6-glucosidase [EC:3.2.1.10]	Carbohydrate metabolism (oligo-1,6-glucosidase)	ag	Carbon Processing	Sugar utilization	Sucrose	
K00692	isomaltase [EC:3.2.1.10]	Starch and sucrose metabolism (isomaltase)	ag	Carbon Processing	Sugar utilization	Sucrose	
K01809	mannose-6-phosphate isomerase [EC:5.3.1.8]	Mannose metabolism (mannose-6-phosphate isomerase)	ag	Carbon Processing	Sugar utilization	Mannose	
K02793	mannose PTS system IIA component [EC:2.7.1.191]	PTS system, mannose-specific II component	ag	Carbon Processing	Sugar utilization	Mannose	
K02794	mannose PTS system IIB component [EC:2.7.1.191]	PTS system, mannose-specific II component	ag	Carbon Processing	Sugar utilization	Mannose	
K02795	mannose PTS system IIC component [EC:2.7.1.191]	PTS system, mannose-specific II component	ag	Carbon Processing	Sugar utilization	Mannose	
K00849	galactokinase [EC:2.7.1.6]	Galactose metabolism (galactokinase; Leloir pathway)	ag	Carbon Processing	Sugar utilization	Galactose	
K00965	galactose-1-phosphate uridylyltransferase [EC:2.7.7.12]	Galactose metabolism (galactose-1-phosphate uridylyltransferase; Leloir pathway)	ag	Carbon Processing	Sugar utilization	Galactose	
K01784	UDP-galactose 4-epimerase [EC:5.1.3.2]	Galactose metabolism (UDP-galactose 4-epimerase; Leloir pathway)	ag	Carbon Processing	Sugar utilization	Galactose	
K01785	galactose mutarotase [EC:5.1.3.3]	Galactose metabolism (galactose mutarotase; Leloir pathway)	ag	Carbon Processing	Sugar utilization	Galactose	
K00879	L-fucokinase [EC:2.7.1.52]	Fucose metabolism (L-fucokinase)	ag	Carbon Processing	Sugar utilization	Fucose	
K01628	L-fuculose-phosphate aldolase [EC:4.1.2.17]	Fucose metabolism (L-fuculose-phosphate aldolase)	ag	Carbon Processing	Sugar utilization	Fucose	
K01818	L-fucose isomerase [EC:5.3.1.25]	Fucose metabolism (L-fucose isomerase)	ag	Carbon Processing	Sugar utilization	Fucose	
K00854	xylose kinase [EC:2.7.1.17]	Xylose metabolism (xylose kinase)	ag	Carbon Processing	Sugar utilization	Xylose	
K01805	xylose isomerase [EC:5.3.1.5]	Xylose metabolism (xylose isomerase)	ag	Carbon Processing	Sugar utilization	Xylose	
K00008	xylitol dehydrogenase [EC:1.1.1.9]	Xylose metabolism (xylitol dehydrogenase)	ag	Carbon Processing	Sugar utilization	Xylose	
K00011	L-arabitol dehydrogenase [EC:1.1.1.12]	Xylose / arabinose metabolism (arabitol dehydrogenase)	ag	Carbon Processing	Sugar utilization	Xylose	
K05351	xylulokinase [EC:2.7.1.17]	Xylose metabolism (xylulokinase)	ag	Carbon Processing	Sugar utilization	Xylose	
K17743	xylitol oxidase [EC:1.1.3.41]	Xylose metabolism (xylitol oxidase)	ag	Carbon Processing	Sugar utilization	Xylose	
K14273	xylulose reductase [EC:1.1.1.9]	Xylose metabolism (xylulose reductase)	ag	Carbon Processing	Sugar utilization	Xylose	
K14274	D-xylonate dehydratase [EC:4.2.1.82]	Xylose metabolism (xylonate dehydratase)	ag	Carbon Processing	Sugar utilization	Xylose	
K14275	xylonolactonase [EC:3.1.1.68]	Xylose metabolism (xylonolactonase)	ag	Carbon Processing	Sugar utilization	Xylose	
K01804	L-arabinose isomerase [EC:5.3.1.4]	Arabinose metabolism (L-arabinose isomerase)	ag	Carbon Processing	Sugar utilization	Arabinose	
K00011	L-arabitol dehydrogenase [EC:1.1.1.12]	Xylose / arabinose metabolism (arabitol dehydrogenase)	ag	Carbon Processing	Sugar utilization	Arabinose	
K26066	arabinose 1-dehydrogenase [EC:1.1.1.46]	Arabinose metabolism (arabinose 1-dehydrogenase)	ag	Carbon Processing	Sugar utilization	Arabinose	
K13873	arabinolactonase [EC:3.1.1.110]	Arabinose metabolism (arabinolactonase)	ag	Carbon Processing	Sugar utilization	Arabinose	
K19660	arabinonate dehydratase [EC:4.2.1.37]	Arabinose metabolism (arabinonate dehydratase)	ag	Carbon Processing	Sugar utilization	Arabinose	
K12446	L-arabonate dehydratase [EC:4.2.1.37]	Arabinose metabolism (L-arabonate dehydratase)	ag	Carbon Processing	Sugar utilization	Arabinose	
K19243	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]		ag	Carbon Processing	Sugar utilization	Glucose	
K01807	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]		ag	Carbon Processing	Sugar utilization	Ribose	
K01808	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]		ag	Carbon Processing	Sugar utilization	Ribose	
K01810	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]		ag	Carbon Processing	Sugar utilization	Glucose	
K06859	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]		ag	Carbon Processing	Sugar utilization	Glucose	
K13810	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]		ag	Carbon Processing	Sugar utilization	Glucose	
K15916	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]		ag	Carbon Processing	Sugar utilization	Glucose	
K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1] [RN:R01049]		ag	Carbon Processing	Sugar utilization	Ribose	
K13937	hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31] [RN:R02736 R02035]		ag	Carbon Processing	Sugar utilization	Glucose	
K01057	6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]		ag	Carbon Processing	Sugar utilization	Glucose	
K07404	6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]		ag	Carbon Processing	Sugar utilization	Glucose	
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] [RN:R01528 R10221]		ag	Carbon Processing	Sugar utilization	Glucose	
K00615	transketolase [EC:2.2.1.1] [RN:R01830 R01641]		ag	Carbon Processing	Sugar utilization	Ribose	
K00616	transaldolase [EC:2.2.1.2] [RN:R01827]		ag	Carbon Processing	Sugar utilization	Ribose	
K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529]		ag	Carbon Processing	Sugar utilization	Ribose	
K08094	6-phospho-3-hexuloisomerase [EC:5.3.1.27] [RN:R09780]		ag	Carbon Processing	Sugar utilization	Ribose	
K08093	3-hexulose-6-phosphate synthase [EC:4.1.2.43] [RN:R05338]		ag	Carbon Processing	Sugar utilization	Ribose	
K13812	3-hexulose-6-phosphate synthase [EC:4.1.2.43] [RN:R05338]		ag	Carbon Processing	Sugar utilization	Ribose	
K13831	6-phospho-3-hexuloisomerase [EC:5.3.1.27] [RN:R09780]		ag	Carbon Processing	Sugar utilization	Ribose	
K00844	hexokinase [EC:2.7.1.1] [RN:R01786]		ag	Carbon Processing	Sugar utilization	Glucose	
K01835	phosphoglucomutase [EC:5.4.2.2] [RN:R00959]		ag	Carbon Processing	Sugar utilization	Glucose	
K00963	UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9] [RN:R00289]		ag	Carbon Processing	Sugar utilization	Glucose	
K00849	galactokinase [EC:2.7.1.6] [RN:R01092]		ag	Carbon Processing	Sugar utilization	Galactose	
K00918	ADP-dependent phosphofructokinase [EC:2.7.1.146] [RN:R09084]		ag	Carbon Processing	Sugar utilization	Glucose	
K00850	6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]		ag	Carbon Processing	Sugar utilization	Glucose	
K16370	6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]		ag	Carbon Processing	Sugar utilization	Glucose	
K01623	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]		ag	Carbon Processing	Sugar utilization	Fructose	
K01624	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]		ag	Carbon Processing	Sugar utilization	Fructose	
K11645	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]		ag	Carbon Processing	Sugar utilization	Fructose	
K16305	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]		ag	Carbon Processing	Sugar utilization	Fructose	
K16306	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]		ag	Carbon Processing	Sugar utilization	Fructose	
K01803	triosephosphate isomerase [EC:5.3.1.1] [RN:R01015]		ag	Carbon Processing	Sugar utilization	Glucose	
K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]		ag	Carbon Processing	Sugar utilization	Glucose	
K00150	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]		ag	Carbon Processing	Sugar utilization	Glucose	
K00927	phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]		ag	Carbon Processing	Sugar utilization	Glucose	
K11389	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6] [RN:R07159]		ag	Carbon Processing	Sugar utilization	Glucose	
K01834	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]		ag	Carbon Processing	Sugar utilization	Glucose	
K15633	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]		ag	Carbon Processing	Sugar utilization	Glucose	
K15634	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]		ag	Carbon Processing	Sugar utilization	Glucose	
K15635	phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]		ag	Carbon Processing	Sugar utilization	Glucose	
K01689	enolase [EC:4.2.1.11] [RN:R00658]		ag	Carbon Processing	Sugar utilization	Glucose	
K00873	pyruvate kinase [EC:2.7.1.40] [RN:R00200]		ag	Carbon Processing	Sugar utilization	Glucose	
K12406	pyruvate kinase [EC:2.7.1.40] [RN:R00200]		ag	Carbon Processing	Sugar utilization	Glucose	
K01596	phosphoenolpyruvate carboxykinase [EC:4.1.1.32 4.1.1.49] [RN:R00431 R00726 R00341]		ag	Carbon Processing	Sugar utilization	Fructose	
K01610	phosphoenolpyruvate carboxykinase [EC:4.1.1.32 4.1.1.49] [RN:R00431 R00726 R00341]		ag	Carbon Processing	Sugar utilization	Fructose	
K03841	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]		ag	Carbon Processing	Sugar utilization	Fructose	
K02446	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]		ag	Carbon Processing	Sugar utilization	Fructose	
K11532	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]		ag	Carbon Processing	Sugar utilization	Fructose	
K01086	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]		ag	Carbon Processing	Sugar utilization	Fructose	
K04041	fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]		ag	Carbon Processing	Sugar utilization	Fructose	
K01622	fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11] [RN:R01070 R04780]		ag	Carbon Processing	Sugar utilization	Fructose	
K01690	phosphogluconate dehydratase [EC:4.2.1.12] [RN:R02036]		ag	Carbon Processing	Sugar utilization	Glucose	
K01625	2-dehydro-3-deoxyphosphogluconate aldolase [EC:4.1.2.14] [RN:R05605]		ag	Carbon Processing	Sugar utilization	Glucose	
K01785	aldose 1-epimerase [EC:5.1.3.3] [RN:R10619]		ag	Carbon Processing	Sugar utilization	Glucose	
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] [RN:R00286]		ag	Carbon Processing	Sugar utilization	Glucose	
AA3	AA3 cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10)		ag	Carbon Processing	Sugar utilization	Glucose	
AA5	AA5 Oxidase with oxygen as acceptor (EC 1.1.3.-); galactose oxidase (EC 1.1.3.9); glyoxal oxidase (EC 1.2.3.15); alcohol oxidase (EC 1.1.3.13)		ag	Carbon Processing	Sugar utilization	Galactose	
CBM13	CBM13 Modules of approx. 150 residues which always appear as a threefold internal repeat. The only apparent exception to this, xylanase II of Actinomadura sp. FC7 (GenBank U08894), is in fact not completely sequenced. These modules were first identified in several plant lectins such as ricin or agglutinin of Ricinus communis which bind galactose residues. The three-dimensional structure of a plant lectin has been determined and displays a pseudo-threefold symmetry in accord with the observed sequence threefold repeat. These modules have since been found in a number of other proteins of various functions including glycoside hydrolases and glycosyltransferases. While in the plant lectins this module binds mannose, binding to xylan has been demonstrated in the Streptomyces lividans xylanase A and arabinofuranosidase B. Binding to GalNAc has been shown for the corresponding module of GalNAc transferase 4. For the other proteins, the binding specificity of these modules has not been established. The pseudo three-fold symmetry of the CBM13 module has now been confirmed in the 3-D structure of the intact, two-domain, xylanase of Streptomyces olivaceoviridis.		ag	Carbon Processing	Sugar utilization	Xylanase	
CBM31	CBM31 Binding to beta-1,3-xylan has been demonstrated for the C-terminal module of the beta-1,3-xylanase of Alcaligenes sp. XY234.		ag	Carbon Processing	Sugar utilization	Xylanase	
CBM32	CBM32 Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278).		ag	Carbon Processing	Sugar utilization	Galacturonic Acid	
CBM36	CBM36 Modules of approx. 120-130 residues displaying structural similarities to CBM6 modules. The only CBM36 currently characterised, that from Paenbacillus polymyxa xylanase 43A, shows calcium-dependent binding of xylans and xylooligosaccharides. X-ray crystallography shows that there is a direct interaction between calcium and ligand.		ag	Carbon Processing	Sugar utilization	Xylanase	
CBM51	CBM51 Modules of approx. 150 residues found attached to various enzymes from families GH2, GH27, GH31, GH95, GH98 and GH101 . Binding to galactose and to blood group A/B-antigens demonstrated in the case of C. perfringens GH95CBM51 and GH98CBM51 respectively [Gregg KJ et al. (2008) J. Biol. Chem. 283:12604-13 PMID: 18292090].		ag	Carbon Processing	Sugar utilization	Galactose	
CBM59	CBM59 Binding to mannan, xylan, and cellulose demonstrated for the CBM59 of ManF-X10 xylanase from an environmental genomic DNA library (Li et al. (2009) World Journal of Microbiology and Biotechnology 25:2071-2078; doi:10.1007/s11274-009-0111-6)		ag	Carbon Processing	Sugar utilization	Xylanase	
CBM60	CBM60 Modules of approx 120 residues usually found appended to xylanases. The xylan-binding function and the relatedness (circular permutation) to family CBM36 has been demonstrated [PMID: 20659893].		ag	Carbon Processing	Sugar utilization	Xylanase	
CBM62	CBM62 The CBM62 module of Clostridium thermocellum Cthe_2193 protein binds galactose moieties found on xyloglucan, arabinogalactan and galactomannan.		ag	Carbon Processing	Sugar utilization	Galactose	
CBM67	CBM67 Fujimoto et al. [PMID : 23486481] disclosed the L-rhamnose binding activity and 3-D structure of the CBM67 of Streptomyces avermitilis alpha-L-rhamnosidase (SaRha78A);		ag	Carbon Processing	Sugar utilization	Rhamnose	
CBM71	CBM71 The two CBM71s of S. pneumoniae BgaA bind lactose and LacNAc.		ag	Carbon Processing	Sugar utilization	Lactose	
CBM9	CBM9 Modules of approx. 170 residues found so far only in xylanases. The cellulose-binding function has been demonstrated in one case.		ag	Carbon Processing	Sugar utilization	Xylanase	
CE1	CE1 acetyl xylan esterase (EC 3.1.1.72); cinnamoyl esterase (EC 3.1.1.-); feruloyl esterase (EC 3.1.1.73); carboxylesterase (EC 3.1.1.1); S-formylglutathione hydrolase (EC 3.1.2.12); diacylglycerol O-acyltransferase (EC 2.3.1.20); trehalose 6-O-mycolyltransferase (EC 2.3.1.122)		ag	Carbon Processing	Sugar utilization	Trehalose	
GH11	GH11 endo-beta-1,4-xylanase (EC 3.2.1.8); endo-beta-1,3-xylanase (EC 3.2.1.32)		ag	Carbon Processing	Sugar utilization	Glycoside Hydrolase	
GH130	GH130 beta-1,4-mannosylglucose phosphorylase (EC 2.4.1.281); beta-1,4-mannooligosaccharide phosphorylase (EC 2.4.1.319); beta-1,4-mannosyl-N-acetyl-glucosamine phosphorylase (EC 2.4.1.320); beta-1,2-mannobiose phosphorylase (EC 2.4.1.-); beta-1,2-oligomannan phosphorylase (EC 2.4.1.-); beta-1,2-mannosidase (EC 3.2.1.-)		ag	Carbon Processing	Sugar utilization	Glycoside Hydrolase	
GH18	GH18 chitinase (EC 3.2.1.14); lysozyme (EC 3.2.1.17); endo-beta-N-acetylglucosaminidase (EC 3.2.1.96); peptidoglycan hydrolase with endo-beta-N-acetylglucosaminidase specificity (EC 3.2.1.-); Nod factor hydrolase (EC 3.2.1.-); xylanase inhibitor; concanavalin B; narbonin		ag	Carbon Processing	Sugar utilization	Glycoside Hydrolase	
GH26	GH26 beta-mannanase (EC 3.2.1.78); exo-beta-1,4-mannobiohydrolase (EC 3.2.1.100); beta-1,3-xylanase (EC 3.2.1.32); lichenase / endo-beta-1,3-1,4-glucanase (EC 3.2.1.73); mannobiose-producing exo-beta-mannanase (EC 3.2.1.-)		ag	Carbon Processing	Sugar utilization	Glycoside Hydrolase	
GH32	GH32 invertase (EC 3.2.1.26); endo-inulinase (EC 3.2.1.7); beta-2,6-fructan 6-levanbiohydrolase (EC 3.2.1.64); endo-levanase (EC 3.2.1.65); exo-inulinase (EC 3.2.1.80); fructan beta-(2,1)-fructosidase/1-exohydrolase (EC 3.2.1.153); fructan beta-(2,6)-fructosidase/6-exohydrolase (EC 3.2.1.154); sucrose:sucrose 1-fructosyltransferase (EC 2.4.1.99); fructan:fructan 1-fructosyltransferase (EC 2.4.1.100); sucrose:fructan 6-fructosyltransferase (EC 2.4.1.10); fructan:fructan 6G-fructosyltransferase (EC 2.4.1.243); levan fructosyltransferase (EC 2.4.1.-); [retaining] sucrose:sucrose 6-fructosyltransferase (6-SST) (EC 2.4.1.-); cycloinulo-oligosaccharide fructanotransferase (EC 2.4.1.-)		ag	Carbon Processing	Sugar utilization	Glycoside Hydrolase	
GH43	GH43 beta-xylosidase (EC 3.2.1.37); alpha-L-arabinofuranosidase (EC 3.2.1.55); xylanase (EC 3.2.1.8); alpha-1,2-L-arabinofuranosidase (EC 3.2.1.-); exo-alpha-1,5-L-arabinofuranosidase (EC 3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC 3.2.1.-); beta-1,3-xylosidase (EC 3.2.1.-); [inverting] exo-alpha-1,5-L-arabinanase (EC 3.2.1.-); [inverting] endo-alpha-1,5-L-arabinanase (EC 3.2.1.99); exo-beta-1,3-galactanase (EC 3.2.1.145); beta-D-galactofuranosidase (EC 3.2.1.146)		ag	Carbon Processing	Sugar utilization	Glycoside Hydrolase	
GH8	GH8 chitosanase (EC 3.2.1.132); cellulase (EC 3.2.1.4); licheninase (EC 3.2.1.73); endo-1,4-beta-xylanase (EC 3.2.1.8); reducing-end-xylose releasing exo-oligoxylanase (EC 3.2.1.156)		ag	Carbon Processing	Sugar utilization	Glycoside Hydrolase	
GT106	GT106 UDP-beta-L-rhamnose:rhamnogalacturonan I 4-alpha-rhamnosyltransferase (EC 2.4.1.351)		ag	Carbon Processing	Sugar utilization	Glycosyl Transferase	
GT1	GT1 UDP-glucuronosyltransferase (EC 2.4.1.17); zeatin O-beta-xylosyltransferase (EC 2.4.2.40); 2-hydroxyacylsphingosine 1-beta-galactosyltransferase (EC 2.4.1.45); N-acylsphingosine galactosyltransferase (EC 2.4.1.47); flavonol 3-O-glucosyltransferase (EC 2.4.1.91); anthocyanidin 3-O-glucosyltransferase (EC 2.4.1.115); sinapate 1-glucosyltransferase (EC 2.4.1.120); indole-3-acetate beta-glucosyltransferase (EC 2.4.1.121); flavonol L-rhamnosyltransferase (EC 2.4.1.159); sterol glucosyltransferase (EC 2.4.1.173); UDP-Glc: 4-hydroxybenzoate 4-O-beta-glucosyltransferase (EC 2.4.1.194); zeatin O-beta-glucosyltransferase (EC 2.4.1.203); limonoid glucosyltransferase (EC 2.4.1.210); UDP-GlcA: baicalein 7-O-beta-glucuronosyltransferase (EC 2.4.1.253); UDP-Glc: chalcone 4‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®¬¨¬¢‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂‚àö¬∞¬¨¬®¬¨√Ü¬¨¬®¬¨¬Æ‚Äö√Ñ√∂‚àö¬¢¬¨√ü-O-beta-glucosyltransferase (EC 2.4.1.286); ecdysteroid UDP-glucosyltransferase (EC 2.4.1.-); salicylic acid beta-glucosyltransferase (EC 2.4.1.-); anthocyanin 3-O-galactosyltransferase (EC 2.4.1.-); anthocyanin 5-O-glucosyltransferase (EC 2.4.1.-); dTDP-beta-2-deoxy-L-fucose: alpha-L-2-deoxyfucosyltransferase (EC 2.4.1.-); UDP-beta-L-rhamnose: alpha-L-rhamnosyltransferase (EC 2.4.1.-); zeaxanthin glucosyltransferase (EC 2.4.1.-); flavone 8-C-glycosyltransferase		ag	Carbon Processing	Sugar utilization	Glycosyl Transferase	
GT20	GT20 alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15); Glucosylglycerol-phosphate synthase (EC 2.4.1.213); trehalose-6-P phosphatase (EC 3.1.3.12); [retaining] GDP-valeniol: validamine 7-phosphate valeniolyltransferase (EC 2.-.-.-)		ag	Carbon Processing	Sugar utilization	Glycosyl Transferase	
GT31	GT31 N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.149); Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase (EC 2.4.1.122); fucose-specific beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.-); globotriosylceramide beta-1,3-GalNAc transferase (EC 2.4.1.79); chondroitin synthase (beta-1,3-GlcUA and beta-1,4-GalNAc transferase (EC 2.4.1.175); chondroitin beta-1,3-glucuronyltransferase (EC 2.4.1.226); chondroitin beta-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.-); UDP-Gal: beta-galactosylxylosylprotein beta-1,3-galactosyltransferase (EC 2.4.1.134); UDP-GlcNAc: O-fucosylpeptide beta-1,3-N-acetylglucosaminyltransferase (EC 2.4.1.222)		ag	Carbon Processing	Sugar utilization	Glycosyl Transferase	
GT32	GT32 alpha-1,6-mannosyltransferase (EC 2.4.1.-); alpha-1,4-N-acetylglucosaminyltransferase (EC 2.4.1.-); alpha-1,4-N-acetylgalactosaminyltransferase (EC 2.4.1.-); GDP-Man: inositol-phosphorylceramide transferase (EC 2.4.1.-); UDP-Gal: beta-galactoside alpha-1,4-galactosyltransferase (EC 2.4.1.-); UDP-Gal: lactose/N-acetyl-lactosamine alpha-1,4-galactosyltransferase (EC 2.4.1.-); UDP-Glc: protein alpha-glucosyltransferase (EC 2.4.1.-)		ag	Carbon Processing	Sugar utilization	Glycosyl Transferase	
